X,Y,ORGANIZATION_NAME,CLIENT_NAME,SITE_NAME,PRIMARY_FACILITY_NAME,CLIENT_ID,SITE_ID,PRIMARY_FACILITY_ID,SUB_FACILITY_NAME,SUB_FACILITY_ID,PRIMARY_FACILITY_TYPE,PRIMARY_FACILITY_KIND,OTHER_FACILITY_ID,SUB_FACILITY_TYPE,SOTHER_FID,CLIENT_RELATIONSHIP,SITE_STATUS,PRIMARY_FACILITY_STATUS,SUB_FACILITY_STATUS,COMPLIANCE,SHAPE_FID
-8438975.782,5053467.814,WILKES BARRE MATERIALS LLC,WILKES BARRE MATERIALS LLC,AMER ASPHALT PAVING 315 PLT,WILKES BARRE MATERIALS/PLAINS PLT,246159,580600,494507,ADMIN SF FOR:AMER ASPHALT PAVING /PLAINS PLT,552422,AIR EMISSION PLANT,Unavailable,20-4108887-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4110077
-8744157.204,5076393.228,NORTH AMER HOGANAS INC,NORTH AMER HOGANAS INC,NORTH AMER HOGANAS ST MARYS MILL,NORTH AMER HOGANAS/ST MARYS,79754,490850,519135,ADMIN SF FOR:NORTH AMER HOGANAS/ST MARYS,552135,AIR EMISSION PLANT,Unavailable,23-2540690-2,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,INACTIVE,ACTIVE,YES,4110151
-8593292.231,4895435.182,CLEAR RIDGE ROOFING,CLEAR RIDGE ROOFING,DICKINSON COLLEGE,CLEAR RIDGE ROOFING/DICKINSON COLLEGE ASBESTOS ABA,144753,510362,558862,ADMIN SF FOR:CLEAR RIDGE ROOFING/DICKINSON COLLEGE ASBESTOS,554065,AIR EMISSION PLANT,Unavailable,00-3200007-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,UNPERMITTED INACTIVE,INACTIVE,YES,4110209
-8391863.983,4841176.924,EXELON GENERATION CO LLC,EXELON GENERATION CO LLC,EXELON GENERATION CO/CHESTER,EXELON GENERATING STA/ CHESTER,147686,465956,548104,ADMIN SF FOR:EXELON GENERATION CO/CHESTER,550412,AIR EMISSION PLANT,Unavailable,23-3064219-2,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4110328
-8480344.458,4959487.428,CARDINAL DEV ASSOC INC,CARDINAL DEV ASSOC INC,CARDINAL DEV ASSOC,CARDINAL DEV ASSOC INC/WILLOW LAKE,117407,490668,518985,ADMIN SF FOR:CARDINAL DEV ASSOC INC/WILLOW LAKE,553093,AIR EMISSION PLANT,Unavailable,00-2100011-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,INACTIVE,INACTIVE,INACTIVE,YES,4110784
-8543793.881,4859615.326,MANNA PRO INC,MANNA PRO INC,MANNA PRO YORK FEED PLT,MANNA PRO INC/YORK,117300,490601,518939,ADMIN SF FOR:MANNA PRO INC/YORK,553087,AIR EMISSION PLANT,Unavailable,95-3991180-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,INACTIVE,INACTIVE,YES,4110870
-8739222.131,4869415.55,BEDFORD BURN OFF OVEN SVC INC,BEDFORD BURN OFF OVEN SVC INC,BEDFORD BURN OFF OVEN SVC BEDFORD PLT,BEDFORD BURN OFF OVEN SVC/BEDFORD,117304,490606,518946,ADMIN SF FOR:BEDFORD BURN OFF OVEN SVC/BEDFORD,553089,AIR EMISSION PLANT,Unavailable,25-1839304-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4110873
-8401905.675,4953741.066,AJ TRUNZO INC,AJ TRUNZO INC,A J TRUNZO,AJ TRUNZO INC/BONTON DEMOLITION SITE,142391,532607,553889,ADMIN SF FOR:AJ TRUNZO INC/BONTON DEMO SITE,553880,AIR EMISSION PLANT,Unavailable,00-2200019-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,INACTIVE,INACTIVE,YES,4110885
-8478835.962,4895051.299,SKIPS CUTTING INC,SKIPS CUTTING INC,SKIPS CUTTING INC EPHRATA,SKIPS CUTTING INC/EPHRATA,112292,455515,513753,ADMIN SF FOR:SKIPS CUTTING INC/EPHRATA,552864,AIR EMISSION PLANT,Unavailable,23-2265885-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,INACTIVE,ACTIVE,YES,4110986
-8566291.729,4899286.409,PURINA ANIMAL NUTRITION LLC,PURINA ANIMAL NUTRITION LLC,PURINA MILLS SHIREMANSTOWN ANIMAL FEED MFG,PURINA ANIMAL NUTRITION LLC/SHIREMANSTOWN,162200,450831,510095,ADMIN SF FOR:PURINA MILLS LLC/SHIREMANSTOWN,550562,AIR EMISSION PLANT,Unavailable,41-2015534-1,GENERAL ADMINISTRATIVE LOCATION,ADMIN,Owner,ACTIVE,ACTIVE,ACTIVE,YES,4111294
