Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Centre,03/05/2020,0,,0,162385,0,,0,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Bradford,10/06/2020,15,15.3,297,60323,24.9,25.3,492.3,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Cambria,01/01/2021,54,78.6,8995,130192,41.5,60.4,6909,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Cambria,01/03/2021,21,70,9069,130192,16.1,53.8,6965.9,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
York,01/16/2021,359,283,28507,449058,79.9,63,6348.2,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Cambria,02/08/2021,42,37,11134,130192,32.3,28.4,8552,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Cambria,12/20/2020,103,130.6,8081,130192,79.1,100.3,6207,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Centre,12/22/2020,79,78.7,8445,162385,48.6,48.5,5200.6,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Centre,01/06/2021,71,66,9454,162385,43.7,40.6,5822,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Luzerne,01/15/2021,133,175.7,20483,317417,41.9,55.4,6453,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Delaware,03/11/2021,125,110.9,42215,566747,22.1,19.6,7448.6,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Bradford,09/02/2020,1,0.3,111,60323,1.7,0.5,184,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Cambria,01/13/2021,53,77.7,9893,130192,40.7,59.7,7598.8,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Cambria,01/15/2021,75,74.1,10102,130192,57.6,56.9,7759.3,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
York,12/23/2020,355,388,21295,449058,79.1,86.4,4742.1,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Delaware,02/01/2021,145,193.9,37689,566747,25.6,34.2,6650.1,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Beaver,12/07/2020,79,140.4,5118,163929,48.2,85.7,3122.1,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
McKean,03/21/2021,2,2.3,3120,40625,4.9,5.6,7680,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Centre,01/16/2021,81,67.6,10236,162385,49.9,41.6,6303.5,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Cambria,12/02/2020,134,152.3,4967,130192,102.9,117,3815.1,42021,-78.71894174,40.49127491,POINT (-78.71894174 40.49127491)
Delaware,01/31/2021,132,201.3,37544,566747,23.3,35.5,6624.5,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Luzerne,02/03/2021,105,110.9,23251,317417,33.1,34.9,7325.1,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Bradford,08/13/2020,1,1,104,60323,1.7,1.7,172.4,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Cameron,03/21/2021,0,0.1,267,4447,0,3.2,6004,42023,-78.20916932,41.43880265,POINT (-78.20916932 41.43880265)
