Date,County Name,Partially Covered,Fully Covered
12/14/2020,Allegheny,10,
12/14/2020,Bucks,3,
12/14/2020,Lancaster,1,
12/14/2020,Luzerne,1,
12/14/2020,Washington,1,
12/14/2020,Westmoreland,1,
12/14/2020,York,1,
12/15/2020,Allegheny,6,
12/15/2020,Bucks,2,
12/15/2020,Centre,1,
12/15/2020,Chester,1,
12/15/2020,Clarion,1,
12/15/2020,Crawford,10,
12/15/2020,Erie,1,
12/15/2020,Franklin,1,
12/15/2020,Huntingdon,1,
12/15/2020,Lackawanna,1,
12/15/2020,Lehigh,2,
12/15/2020,Luzerne,1,
12/15/2020,Montgomery,4,
12/15/2020,Venango,1,
12/15/2020,Out-of-State,2,
12/16/2020,Adams,1,
12/16/2020,Allegheny,50,
12/16/2020,Bedford,1,
12/16/2020,Berks,1,
12/16/2020,Blair,2,
12/16/2020,Bucks,8,
12/16/2020,Butler,1,
12/16/2020,Centre,27,
12/16/2020,Chester,5,
12/16/2020,Clarion,1,
12/16/2020,Clearfield,1,
12/16/2020,Clinton,1,
12/16/2020,Columbia,4,
12/16/2020,Crawford,38,
12/16/2020,Cumberland,2,
12/16/2020,Dauphin,1,
12/16/2020,Delaware,9,
12/16/2020,Erie,3,
12/16/2020,Fayette,76,
12/16/2020,Greene,1,
12/16/2020,Huntingdon,2,
12/16/2020,Juniata,7,
12/16/2020,Lackawanna,10,
12/16/2020,Lancaster,2,
12/16/2020,Lehigh,6,
12/16/2020,Luzerne,53,
12/16/2020,Lycoming,26,
12/16/2020,Mifflin,29,
12/16/2020,Monroe,2,
12/16/2020,Montgomery,36,
12/16/2020,Montour,11,
12/16/2020,Northampton,2,
12/16/2020,Northumberland,62,
12/16/2020,Perry,1,
12/16/2020,Philadelphia,44,
12/16/2020,Schuylkill,1,
12/16/2020,Snyder,32,
12/16/2020,Union,144,
12/16/2020,Venango,16,
12/16/2020,Warren,3,
12/16/2020,Washington,153,
12/16/2020,Westmoreland,36,
12/16/2020,Out-of-State,13,
12/17/2020,Allegheny,155,
12/17/2020,Armstrong,3,
12/17/2020,Beaver,4,
12/17/2020,Berks,5,
12/17/2020,Bucks,65,
12/17/2020,Butler,8,
12/17/2020,Cambria,1,
12/17/2020,Carbon,2,
12/17/2020,Centre,14,
12/17/2020,Chester,14,
12/17/2020,Clarion,2,
12/17/2020,Clearfield,1,
12/17/2020,Clinton,6,
12/17/2020,Columbia,3,
12/17/2020,Crawford,42,
12/17/2020,Cumberland,2,
12/17/2020,Dauphin,3,
12/17/2020,Delaware,14,
12/17/2020,Elk,1,
12/17/2020,Erie,68,
12/17/2020,Fayette,73,
12/17/2020,Greene,1,
12/17/2020,Huntingdon,1,
12/17/2020,Indiana,6,
12/17/2020,Jefferson,1,
12/17/2020,Juniata,4,
12/17/2020,Lackawanna,69,
12/17/2020,Lancaster,8,
12/17/2020,Lawrence,1,
12/17/2020,Lehigh,19,
12/17/2020,Luzerne,82,
12/17/2020,Lycoming,21,
12/17/2020,Mercer,2,
12/17/2020,Mifflin,15,
12/17/2020,Monroe,4,
12/17/2020,Montgomery,85,
12/17/2020,Montour,10,
12/17/2020,Northampton,13,
12/17/2020,Northumberland,26,
12/17/2020,Perry,2,
12/17/2020,Philadelphia,30,
12/17/2020,Snyder,14,
12/17/2020,Somerset,2,
12/17/2020,Susquehanna,1,
12/17/2020,Union,48,
12/17/2020,Venango,10,
12/17/2020,Warren,1,
12/17/2020,Washington,108,
12/17/2020,Wayne,3,
12/17/2020,Westmoreland,57,
12/17/2020,Wyoming,2,
12/17/2020,York,1,
12/17/2020,Out-of-State,106,
12/18/2020,Adams,49,
12/18/2020,Allegheny,1543,
12/18/2020,Armstrong,75,
12/18/2020,Beaver,188,
12/18/2020,Bedford,16,
12/18/2020,Berks,74,
12/18/2020,Blair,108,
12/18/2020,Bradford,29,
12/18/2020,Bucks,632,
12/18/2020,Butler,387,
12/18/2020,Cambria,190,
12/18/2020,Carbon,47,
12/18/2020,Centre,309,
12/18/2020,Chester,210,
12/18/2020,Clarion,93,
12/18/2020,Clearfield,173,
12/18/2020,Clinton,20,
12/18/2020,Columbia,92,
12/18/2020,Crawford,85,
12/18/2020,Cumberland,14,
12/18/2020,Dauphin,20,
12/18/2020,Delaware,184,
12/18/2020,Elk,35,
12/18/2020,Erie,288,
12/18/2020,Fayette,316,
12/18/2020,Forest,12,
12/18/2020,Franklin,33,
12/18/2020,Greene,10,
12/18/2020,Huntingdon,17,
12/18/2020,Indiana,87,
12/18/2020,Jefferson,96,
12/18/2020,Juniata,8,
12/18/2020,Lackawanna,125,
12/18/2020,Lancaster,326,
12/18/2020,Lawrence,36,
12/18/2020,Lebanon,10,
12/18/2020,Lehigh,743,
12/18/2020,Luzerne,246,
12/18/2020,Lycoming,76,
12/18/2020,Mckean,5,
12/18/2020,Mercer,59,
12/18/2020,Mifflin,50,
12/18/2020,Monroe,102,
12/18/2020,Montgomery,521,
12/18/2020,Montour,222,
12/18/2020,Northampton,447,
12/18/2020,Northumberland,117,
12/18/2020,Perry,3,
12/18/2020,Philadelphia,315,
12/18/2020,Pike,7,
12/18/2020,Potter,10,
12/18/2020,Schuylkill,120,
12/18/2020,Snyder,46,
12/18/2020,Somerset,78,
12/18/2020,Sullivan,1,
12/18/2020,Tioga,1,
12/18/2020,Union,130,
12/18/2020,Venango,44,
12/18/2020,Warren,12,
12/18/2020,Washington,204,
12/18/2020,Wayne,3,
12/18/2020,Westmoreland,644,
12/18/2020,Wyoming,4,
12/18/2020,York,127,
12/18/2020,Out-of-State,629,
12/19/2020,Adams,10,
12/19/2020,Allegheny,998,
12/19/2020,Armstrong,21,
12/19/2020,Beaver,13,
12/19/2020,Bedford,3,
12/19/2020,Berks,29,
12/19/2020,Blair,48,
12/19/2020,Bradford,49,
12/19/2020,Bucks,295,
12/19/2020,Butler,115,
12/19/2020,Cambria,19,
12/19/2020,Carbon,34,
12/19/2020,Centre,153,
12/19/2020,Chester,323,
12/19/2020,Clarion,18,
12/19/2020,Clearfield,29,
12/19/2020,Clinton,15,
12/19/2020,Columbia,88,
12/19/2020,Crawford,428,
12/19/2020,Cumberland,28,
12/19/2020,Dauphin,13,
12/19/2020,Delaware,232,
12/19/2020,Elk,1,
12/19/2020,Erie,253,
12/19/2020,Fayette,99,
12/19/2020,Forest,4,
12/19/2020,Franklin,130,
12/19/2020,Greene,1,
12/19/2020,Huntingdon,10,
12/19/2020,Indiana,28,
12/19/2020,Jefferson,5,
12/19/2020,Juniata,3,
12/19/2020,Lackawanna,98,
12/19/2020,Lancaster,149,
12/19/2020,Lawrence,9,
12/19/2020,Lebanon,64,
12/19/2020,Lehigh,385,
12/19/2020,Luzerne,135,
12/19/2020,Lycoming,121,
12/19/2020,Mercer,32,
12/19/2020,Mifflin,24,
12/19/2020,Monroe,54,
12/19/2020,Montgomery,244,
12/19/2020,Montour,219,
12/19/2020,Northampton,289,
12/19/2020,Northumberland,78,
12/19/2020,Philadelphia,152,
12/19/2020,Pike,3,
12/19/2020,Potter,1,
12/19/2020,Schuylkill,31,
12/19/2020,Snyder,14,
12/19/2020,Somerset,13,
12/19/2020,Susquehanna,3,
12/19/2020,Tioga,4,
12/19/2020,Union,47,
12/19/2020,Venango,40,
12/19/2020,Warren,14,
12/19/2020,Washington,80,
12/19/2020,Wayne,11,
12/19/2020,Westmoreland,102,
12/19/2020,Wyoming,5,
12/19/2020,York,215,
12/19/2020,Out-of-State,247,
12/20/2020,Adams,11,
12/20/2020,Allegheny,607,
12/20/2020,Armstrong,9,
12/20/2020,Beaver,7,
12/20/2020,Berks,74,
12/20/2020,Blair,7,
12/20/2020,Bucks,53,
12/20/2020,Butler,29,
12/20/2020,Cambria,7,
12/20/2020,Carbon,16,
12/20/2020,Centre,41,
12/20/2020,Chester,371,
12/20/2020,Clarion,3,
12/20/2020,Clearfield,3,
12/20/2020,Clinton,11,
12/20/2020,Columbia,49,
12/20/2020,Crawford,5,
12/20/2020,Cumberland,152,
12/20/2020,Dauphin,117,
12/20/2020,Delaware,221,
12/20/2020,Elk,1,
12/20/2020,Erie,128,
12/20/2020,Fayette,2,
12/20/2020,Franklin,3,
12/20/2020,Huntingdon,2,
12/20/2020,Indiana,2,
12/20/2020,Juniata,2,
12/20/2020,Lackawanna,62,
12/20/2020,Lancaster,172,
12/20/2020,Lebanon,10,
12/20/2020,Lehigh,138,
12/20/2020,Luzerne,165,
12/20/2020,Lycoming,13,
12/20/2020,Mercer,1,
12/20/2020,Mifflin,23,
12/20/2020,Monroe,47,
12/20/2020,Montgomery,144,
12/20/2020,Montour,57,
12/20/2020,Northampton,223,
12/20/2020,Northumberland,40,
12/20/2020,Perry,17,
12/20/2020,Philadelphia,157,
12/20/2020,Pike,2,
12/20/2020,Schuylkill,20,
12/20/2020,Snyder,9,
12/20/2020,Somerset,8,
12/20/2020,Susquehanna,5,
12/20/2020,Tioga,1,
12/20/2020,Union,18,
12/20/2020,Venango,2,
12/20/2020,Washington,16,
12/20/2020,Wayne,7,
12/20/2020,Westmoreland,84,
12/20/2020,Wyoming,5,
12/20/2020,York,81,
12/20/2020,Out-of-State,173,
12/21/2020,Adams,56,
12/21/2020,Allegheny,2740,
12/21/2020,Armstrong,86,
12/21/2020,Beaver,134,
12/21/2020,Bedford,17,
12/21/2020,Berks,301,
12/21/2020,Blair,158,
12/21/2020,Bradford,98,
12/21/2020,Bucks,645,
12/21/2020,Butler,327,
12/21/2020,Cambria,219,
12/21/2020,Cameron,2,
12/21/2020,Carbon,34,
12/21/2020,Centre,200,
12/21/2020,Chester,613,
12/21/2020,Clarion,17,
12/21/2020,Clearfield,290,
12/21/2020,Clinton,24,
12/21/2020,Columbia,26,
12/21/2020,Crawford,563,
12/21/2020,Cumberland,162,
12/21/2020,Dauphin,196,
12/21/2020,Delaware,356,
12/21/2020,Elk,77,
12/21/2020,Erie,734,
12/21/2020,Fayette,169,
12/21/2020,Forest,7,
12/21/2020,Franklin,37,
12/21/2020,Fulton,2,
12/21/2020,Greene,11,
12/21/2020,Huntingdon,101,
12/21/2020,Indiana,156,
12/21/2020,Jefferson,122,
12/21/2020,Juniata,14,
12/21/2020,Lackawanna,241,
12/21/2020,Lancaster,364,
12/21/2020,Lawrence,68,
12/21/2020,Lebanon,26,
12/21/2020,Lehigh,430,
12/21/2020,Luzerne,390,
12/21/2020,Lycoming,137,
12/21/2020,Mckean,34,
12/21/2020,Mercer,174,
12/21/2020,Mifflin,42,
12/21/2020,Monroe,60,
12/21/2020,Montgomery,682,
12/21/2020,Montour,39,
12/21/2020,Northampton,326,
12/21/2020,Northumberland,78,
12/21/2020,Perry,13,
12/21/2020,Philadelphia,360,
12/21/2020,Pike,7,
12/21/2020,Potter,32,
12/21/2020,Schuylkill,38,
12/21/2020,Snyder,49,
12/21/2020,Somerset,118,
12/21/2020,Sullivan,4,
12/21/2020,Susquehanna,7,
12/21/2020,Tioga,78,
12/21/2020,Union,78,
12/21/2020,Venango,154,
12/21/2020,Warren,10,
12/21/2020,Washington,275,
12/21/2020,Wayne,15,
12/21/2020,Westmoreland,712,
12/21/2020,Wyoming,15,
12/21/2020,York,244,
12/21/2020,Out-of-State,1164,
12/22/2020,Adams,73,
12/22/2020,Allegheny,2531,
12/22/2020,Armstrong,107,
12/22/2020,Beaver,66,
12/22/2020,Bedford,21,
12/22/2020,Berks,409,
12/22/2020,Blair,347,
12/22/2020,Bradford,88,
12/22/2020,Bucks,939,
12/22/2020,Butler,363,
12/22/2020,Cambria,284,
12/22/2020,Cameron,6,
12/22/2020,Carbon,72,
12/22/2020,Centre,273,
12/22/2020,Chester,652,
12/22/2020,Clarion,76,
12/22/2020,Clearfield,236,
12/22/2020,Clinton,41,
12/22/2020,Columbia,71,
12/22/2020,Crawford,102,
12/22/2020,Cumberland,383,
12/22/2020,Dauphin,369,
12/22/2020,Delaware,731,
12/22/2020,Elk,105,
12/22/2020,Erie,676,
12/22/2020,Fayette,278,
12/22/2020,Forest,9,
12/22/2020,Franklin,112,
12/22/2020,Fulton,4,
12/22/2020,Greene,20,
12/22/2020,Huntingdon,79,
12/22/2020,Indiana,111,
12/22/2020,Jefferson,174,
12/22/2020,Juniata,12,
12/22/2020,Lackawanna,258,
12/22/2020,Lancaster,473,
12/22/2020,Lawrence,114,
12/22/2020,Lebanon,124,
12/22/2020,Lehigh,953,
12/22/2020,Luzerne,445,
12/22/2020,Lycoming,191,
12/22/2020,Mckean,32,
12/22/2020,Mercer,176,
12/22/2020,Mifflin,48,
12/22/2020,Monroe,155,
12/22/2020,Montgomery,706,
12/22/2020,Montour,70,
12/22/2020,Northampton,555,
12/22/2020,Northumberland,80,
12/22/2020,Perry,28,
12/22/2020,Philadelphia,436,
12/22/2020,Pike,29,
12/22/2020,Potter,29,
12/22/2020,Schuylkill,188,
12/22/2020,Snyder,10,
12/22/2020,Somerset,75,
12/22/2020,Sullivan,2,
12/22/2020,Susquehanna,16,
12/22/2020,Tioga,48,
12/22/2020,Union,29,
12/22/2020,Venango,110,
12/22/2020,Warren,80,
12/22/2020,Washington,420,
12/22/2020,Wayne,78,
12/22/2020,Westmoreland,810,
12/22/2020,Wyoming,16,
12/22/2020,York,464,
12/22/2020,Out-of-State,2025,
12/23/2020,Adams,44,
12/23/2020,Allegheny,2032,
12/23/2020,Armstrong,128,
12/23/2020,Beaver,67,
12/23/2020,Bedford,42,
12/23/2020,Berks,424,
12/23/2020,Blair,193,
12/23/2020,Bradford,103,
12/23/2020,Bucks,1018,
12/23/2020,Butler,234,
12/23/2020,Cambria,243,
12/23/2020,Cameron,6,
12/23/2020,Carbon,178,
12/23/2020,Centre,161,
12/23/2020,Chester,677,
12/23/2020,Clarion,99,
12/23/2020,Clearfield,64,
12/23/2020,Clinton,21,
12/23/2020,Columbia,106,
12/23/2020,Crawford,29,
12/23/2020,Cumberland,189,
12/23/2020,Dauphin,270,
12/23/2020,Delaware,836,
12/23/2020,Elk,19,
12/23/2020,Erie,389,
12/23/2020,Fayette,131,
12/23/2020,Forest,42,
12/23/2020,Franklin,111,
12/23/2020,Fulton,24,
12/23/2020,Greene,40,
12/23/2020,Huntingdon,20,
12/23/2020,Indiana,100,
12/23/2020,Jefferson,72,
12/23/2020,Juniata,9,
12/23/2020,Lackawanna,238,
12/23/2020,Lancaster,560,
12/23/2020,Lawrence,60,
12/23/2020,Lebanon,71,
12/23/2020,Lehigh,1313,
12/23/2020,Luzerne,366,
12/23/2020,Lycoming,108,
12/23/2020,Mckean,66,
12/23/2020,Mercer,108,
12/23/2020,Mifflin,49,
12/23/2020,Monroe,204,
12/23/2020,Montgomery,1067,
12/23/2020,Montour,66,
12/23/2020,Northampton,833,
12/23/2020,Northumberland,69,
12/23/2020,Perry,25,
12/23/2020,Philadelphia,603,
12/23/2020,Pike,24,
12/23/2020,Potter,36,
12/23/2020,Schuylkill,246,
12/23/2020,Snyder,23,
12/23/2020,Somerset,129,
12/23/2020,Sullivan,5,
12/23/2020,Susquehanna,27,
12/23/2020,Tioga,87,
12/23/2020,Union,22,
12/23/2020,Venango,76,
12/23/2020,Warren,149,
12/23/2020,Washington,239,
12/23/2020,Wayne,56,
12/23/2020,Westmoreland,484,
12/23/2020,Wyoming,19,
12/23/2020,York,233,
12/23/2020,Out-of-State,2640,
12/24/2020,Adams,13,
12/24/2020,Allegheny,671,
12/24/2020,Armstrong,19,
12/24/2020,Beaver,14,
12/24/2020,Bedford,15,
12/24/2020,Berks,73,
12/24/2020,Blair,4,
12/24/2020,Bradford,2,
12/24/2020,Bucks,416,
12/24/2020,Butler,33,
12/24/2020,Cambria,120,
12/24/2020,Cameron,1,
