County Name,Ethnicity,Coverage,Total Count
Adams,Hispanic,Fully Covered,36
Adams,Hispanic,Partially Covered,48
Adams,Not Hispanic,Fully Covered,1319
Adams,Not Hispanic,Partially Covered,3798
Adams,Unknown,Fully Covered,787
Adams,Unknown,Partially Covered,1148
Allegheny,Hispanic,Fully Covered,191
Allegheny,Hispanic,Partially Covered,732
Allegheny,Not Hispanic,Fully Covered,10859
Allegheny,Not Hispanic,Partially Covered,54441
Allegheny,Unknown,Partially Covered,41502
Allegheny,Unknown,Fully Covered,33992
Armstrong,Hispanic,Fully Covered,
Armstrong,Hispanic,Partially Covered,10
Armstrong,Not Hispanic,Fully Covered,848
Armstrong,Not Hispanic,Partially Covered,2790
Armstrong,Unknown,Fully Covered,1292
Armstrong,Unknown,Partially Covered,1926
Beaver,Hispanic,Fully Covered,8
Beaver,Hispanic,Partially Covered,50
Beaver,Not Hispanic,Fully Covered,962
Beaver,Not Hispanic,Partially Covered,5025
Beaver,Unknown,Partially Covered,3496
Beaver,Unknown,Fully Covered,1700
Bedford,Hispanic,Partially Covered,5
Bedford,Hispanic,Fully Covered,
Bedford,Not Hispanic,Fully Covered,633
Bedford,Not Hispanic,Partially Covered,1332
Bedford,Unknown,Fully Covered,666
Bedford,Unknown,Partially Covered,842
Berks,Hispanic,Fully Covered,547
Berks,Hispanic,Partially Covered,654
Berks,Not Hispanic,Partially Covered,12928
Berks,Not Hispanic,Fully Covered,9597
Berks,Unknown,Fully Covered,4253
Berks,Unknown,Partially Covered,8265
Blair,Hispanic,Partially Covered,26
Blair,Hispanic,Fully Covered,7
Blair,Not Hispanic,Fully Covered,941
Blair,Not Hispanic,Partially Covered,3810
Blair,Unknown,Partially Covered,5532
Blair,Unknown,Fully Covered,3639
Bradford,Hispanic,Partially Covered,25
Bradford,Hispanic,Fully Covered,24
Bradford,Not Hispanic,Fully Covered,1726
Bradford,Not Hispanic,Partially Covered,3395
Bradford,Unknown,Partially Covered,857
Bradford,Unknown,Fully Covered,342
Bucks,Hispanic,Fully Covered,230
Bucks,Hispanic,Partially Covered,567
Bucks,Not Hispanic,Fully Covered,13000
Bucks,Not Hispanic,Partially Covered,22757
Bucks,Unknown,Partially Covered,14425
Bucks,Unknown,Fully Covered,8167
Butler,Hispanic,Partially Covered,60
Butler,Hispanic,Fully Covered,22
Butler,Not Hispanic,Fully Covered,4165
Butler,Not Hispanic,Partially Covered,12970
Butler,Unknown,Partially Covered,5738
Butler,Unknown,Fully Covered,3606
Cambria,Hispanic,Partially Covered,20
Cambria,Hispanic,Fully Covered,20
Cambria,Not Hispanic,Fully Covered,3100
Cambria,Not Hispanic,Partially Covered,6866
Cambria,Unknown,Fully Covered,2696
Cambria,Unknown,Partially Covered,4052
Cameron,Hispanic,Partially Covered,
Cameron,Not Hispanic,Fully Covered,90
Cameron,Not Hispanic,Partially Covered,321
Cameron,Unknown,Fully Covered,134
Cameron,Unknown,Partially Covered,566
Carbon,Hispanic,Partially Covered,80
Carbon,Hispanic,Fully Covered,58
Carbon,Not Hispanic,Fully Covered,2673
Carbon,Not Hispanic,Partially Covered,3540
Carbon,Unknown,Fully Covered,667
Carbon,Unknown,Partially Covered,967
Centre,Hispanic,Fully Covered,18
Centre,Hispanic,Partially Covered,95
Centre,Not Hispanic,Fully Covered,3218
Centre,Not Hispanic,Partially Covered,12496
Centre,Unknown,Partially Covered,3306
Centre,Unknown,Fully Covered,1724
Chester,Hispanic,Fully Covered,327
Chester,Hispanic,Partially Covered,634
Chester,Not Hispanic,Partially Covered,23545
Chester,Not Hispanic,Fully Covered,12443
Chester,Unknown,Fully Covered,5452
Chester,Unknown,Partially Covered,12938
Clarion,Hispanic,Fully Covered,
Clarion,Hispanic,Partially Covered,7
Clarion,Not Hispanic,Fully Covered,685
Clarion,Not Hispanic,Partially Covered,2751
Clarion,Unknown,Partially Covered,1243
Clarion,Unknown,Fully Covered,710
Clearfield,Hispanic,Fully Covered,10
Clearfield,Hispanic,Partially Covered,8
Clearfield,Not Hispanic,Fully Covered,1440
Clearfield,Not Hispanic,Partially Covered,2900
Clearfield,Unknown,Fully Covered,2431
Clearfield,Unknown,Partially Covered,3354
Clinton,Hispanic,Fully Covered,
Clinton,Hispanic,Partially Covered,18
Clinton,Not Hispanic,Fully Covered,563
Clinton,Not Hispanic,Partially Covered,2949
Clinton,Unknown,Fully Covered,411
Clinton,Unknown,Partially Covered,491
Columbia,Hispanic,Fully Covered,57
Columbia,Hispanic,Partially Covered,59
Columbia,Not Hispanic,Fully Covered,3494
Columbia,Not Hispanic,Partially Covered,6506
Columbia,Unknown,Fully Covered,821
Columbia,Unknown,Partially Covered,564
Crawford,Hispanic,Fully Covered,24
Crawford,Hispanic,Partially Covered,31
Crawford,Not Hispanic,Fully Covered,5469
Crawford,Not Hispanic,Partially Covered,4389
Crawford,Unknown,Fully Covered,1302
Crawford,Unknown,Partially Covered,1429
Cumberland,Hispanic,Fully Covered,52
Cumberland,Hispanic,Partially Covered,95
Cumberland,Not Hispanic,Fully Covered,3054
Cumberland,Not Hispanic,Partially Covered,8497
Cumberland,Unknown,Fully Covered,3424
Cumberland,Unknown,Partially Covered,5956
Dauphin,Hispanic,Fully Covered,126
Dauphin,Hispanic,Partially Covered,139
Dauphin,Not Hispanic,Fully Covered,4554
Dauphin,Not Hispanic,Partially Covered,7881
Dauphin,Unknown,Fully Covered,2466
Dauphin,Unknown,Partially Covered,4537
Delaware,Hispanic,Fully Covered,132
Delaware,Hispanic,Partially Covered,247
Delaware,Not Hispanic,Fully Covered,11309
Delaware,Not Hispanic,Partially Covered,21588
Delaware,Unknown,Fully Covered,9290
Delaware,Unknown,Partially Covered,16790
Elk,Hispanic,Fully Covered,
Elk,Hispanic,Partially Covered,
Elk,Not Hispanic,Fully Covered,755
Elk,Not Hispanic,Partially Covered,1285
Elk,Unknown,Fully Covered,1405
Elk,Unknown,Partially Covered,2889
Erie,Hispanic,Fully Covered,45
Erie,Hispanic,Partially Covered,104
Erie,Not Hispanic,Fully Covered,2778
Erie,Not Hispanic,Partially Covered,8082
Erie,Unknown,Fully Covered,5845
Erie,Unknown,Partially Covered,7512
Fayette,Hispanic,Fully Covered,29
Fayette,Hispanic,Partially Covered,67
Fayette,Not Hispanic,Fully Covered,1522
Fayette,Not Hispanic,Partially Covered,4623
Fayette,Unknown,Partially Covered,5285
