County Name,County Population,Partially Covered,Rate Partially Covered,Fully Covered,Rate Fully Covered
Adams,103009,7832,7603.2,8178,7939.1
Allegheny,1216045,175733,14451.2,161249,13260.1
Armstrong,64735,7880,12172.7,8045,12427.6
Beaver,163929,10109,6166.7,12910,7875.4
Bedford,47888,2663,5560.9,3655,7632.4
Berks,421164,32938,7820.7,38048,9034.0
Blair,121829,9103,7471.9,14826,12169.5
Bradford,60323,2720,4509.1,7080,11736.8
Bucks,628270,67173,10691.7,57762,9193.8
Butler,187853,23588,12556.6,29348,15622.9
Cambria,130192,13283,10202.6,18700,14363.4
Cameron,4447,630,14166.9,870,19563.8
Carbon,64182,4873,7592.5,8539,13304.4
Centre,162385,13614,8383.8,21965,13526.5
Chester,524989,55272,10528.2,57469,10946.7
Clarion,38438,3082,8018.1,6110,15895.7
Clearfield,79255,4817,6077.8,11990,15128.4
Clinton,38632,1848,4783.6,4693,12148.0
Columbia,64964,4702,7237.9,11621,17888.4
Crawford,84629,6250,7385.2,13740,16235.6
Cumberland,253370,22402,8841.6,23050,9097.4
Dauphin,278299,22347,8029.9,21297,7652.6
Delaware,566747,52344,9235.9,56676,10000.2
Elk,29910,2779,9291.2,6978,23330.0
Erie,269728,24698,9156.6,35309,13090.6
Fayette,129274,9909,7665.1,18374,14213.2
Forest,7247,517,7134.0,1066,14709.5
Franklin,155027,9492,6122.8,15549,10029.9
Fulton,14530,494,3399.9,923,6352.4
Greene,36233,1920,5299.0,3986,11001.0
Huntingdon,45144,3942,8732.1,5586,12373.7
Indiana,84073,6476,7702.8,8760,10419.5
Jefferson,43425,3963,9126.1,8020,18468.6
Juniata,24763,1391,5617.3,2945,11892.7
Lackawanna,209674,22365,10666.6,38581,18400.5
Lancaster,545724,47536,8710.6,53906,9877.9
Lawrence,85512,5822,6808.4,11154,13043.8
Lebanon,141793,10076,7106.1,13821,9747.3
Lehigh,369318,40342,10923.4,53512,14489.4
Luzerne,317417,24925,7852.4,51339,16174.0
Lycoming,113299,10009,8834.1,14728,12999.2
Mckean,40625,3482,8571.1,3453,8499.7
Mercer,109424,7863,7185.8,19558,17873.6
Mifflin,46138,2826,6125.1,6411,13895.3
Monroe,170271,11414,6703.4,12578,7387.0
Montgomery,830915,120682,14524.0,75440,9079.1
Montour,18230,1312,7196.9,5924,32495.9
Northampton,305285,36394,11921.3,43112,14121.9
Northumberland,90843,6676,7348.9,14693,16174.1
Perry,46272,3145,6796.8,3201,6917.8
Philadelphia,1584064,33126,2091.2,25086,1583.6
Pike,55809,4597,8237.0,3978,7127.9
Potter,16526,1048,6341.5,1043,6311.3
Schuylkill,141359,13417,9491.4,19181,13569.0
Snyder,40372,2662,6593.7,4584,11354.4
Somerset,73447,5620,7651.8,7590,10334.0
Sullivan,6066,1237,20392.4,907,14952.2
Susquehanna,40328,2549,6320.7,4058,10062.5
Tioga,40591,2167,5338.6,3740,9213.9
Union,44923,3611,8038.2,5342,11891.5
Venango,50668,3511,6929.4,5215,10292.5
Warren,39191,3476,8869.4,3586,9150.1
Washington,206865,22595,10922.6,28215,13639.3
Wayne,51361,5064,9859.6,5819,11329.6
Westmoreland,348899,44682,12806.6,42291,12121.3
Wyoming,26794,2032,7583.8,3363,12551.3
York,449058,35091,7814.4,45124,10048.6
Out-of-State,0,118003,,93017,
