County Name,Partially Covered Age Group 15-19,Partially Covered Age Group 20-24,Partially Covered Age Group 25-29,Partially Covered Age Group 30-34,Partially Covered Age Group 35-39,Partially Covered Age Group 40-44,Partially Covered Age Group 45-49,Partially Covered Age Group 50-54,Partially Covered Age Group 55-59,Partially Covered Age Group 60-64,Partially Covered Age Group 65-69,Partially Covered Age Group 70-74,Partially Covered Age Group 75-79,Partially Covered Age Group 80-84,Partially Covered Age Group 85-89,Partially Covered Age Group 90-94,Partially Covered Age Group 95-99,Partially Covered Age Group 100-104,Partially Covered Age Group 105-plus,Fully Covered Age Group 15-19,Fully Covered Age Group 20-24,Fully Covered Age Group 25-29,Fully Covered Age Group 30-34,Fully Covered Age Group 35-39,Fully Covered Age Group 40-44,Fully Covered Age Group 45-49,Fully Covered Age Group 50-54,Fully Covered Age Group 55-59,Fully Covered Age Group 60-64,Fully Covered Age Group 65-69,Fully Covered Age Group 70-74,Fully Covered Age Group 75-79,Fully Covered Age Group 80-84,Fully Covered Age Group 85-89,Fully Covered Age Group 94-94,Fully Covered Age Group 95-99,Fully Covered Age Group 100-104,Fully Covered Age Group 105-plus
ADAMS,44,92,120,162,207,200,228,378,549,851,1467,1463,928,620,333,149,39,,,23,150,213,303,374,357,423,530,640,684,1316,1198,779,550,362,199,58,16,
ALLEGHENY,1257,5037,6676,9064,10029,9207,8445,9923,12636,17963,31592,24793,11995,8244,5269,2811,683,83,18,602,5621,10225,11694,10797,9575,8561,10092,11842,14395,17904,14815,13200,9749,6512,4141,1316,158,48
ARMSTRONG,39,129,135,139,247,242,302,372,591,1031,1546,1361,699,564,271,167,41,,,35,189,256,274,386,432,459,549,668,758,1011,940,823,603,387,211,53,10,
BEAVER,68,243,312,435,535,640,528,692,1006,1561,1867,1057,457,337,187,144,36,,,47,382,536,647,805,805,872,924,1239,1412,1669,1363,848,619,416,248,68,9,
BEDFORD,8,32,33,46,74,85,75,116,172,308,513,432,320,248,141,49,9,,,13,72,81,102,149,181,204,221,310,373,494,444,355,303,213,115,20,5,
BERKS,258,636,710,949,1247,1417,1598,1995,2571,3516,5839,5493,2718,1825,1281,654,177,44,7,248,1068,1569,2008,2439,2436,2654,2901,3263,3235,3489,3039,3945,2574,1789,1042,308,36,5
BLAIR,64,167,220,226,299,357,372,477,653,1077,1552,1402,939,658,366,205,58,6,,82,340,524,675,801,819,831,960,1171,1460,1929,1732,1234,996,660,438,152,18,
BRADFORD,23,38,48,41,59,73,95,149,265,398,369,401,329,248,108,60,13,,,31,128,202,265,286,297,336,478,542,579,1084,948,811,561,328,149,51,,
BUCKS,540,1477,1879,2409,3077,3303,3432,4370,5724,7324,11376,9909,5366,3511,2148,1003,284,31,8,523,1762,2076,2512,3095,3086,3426,4048,4885,5273,5749,5114,6077,4419,3217,1819,591,83,
BUTLER,226,622,692,951,1324,1343,1478,1900,2413,3501,3521,2545,1298,843,536,302,81,10,,119,704,891,1139,1370,1398,1360,1622,1797,2187,4718,4049,3099,2301,1482,838,243,29,
CAMBRIA,72,269,272,282,397,436,504,691,918,1606,2472,2088,1370,916,586,313,77,10,,77,455,595,751,806,960,1089,1257,1489,1970,2849,2394,1591,1047,732,466,153,18,
CAMERON,,7,8,9,22,15,27,35,94,119,95,98,40,29,17,9,6,,,,6,13,12,27,24,16,23,54,75,157,166,112,97,53,26,,,
CARBON,23,102,112,146,193,187,226,303,418,636,918,939,309,180,104,59,17,,,53,177,266,366,390,449,513,642,659,711,779,704,1235,763,510,244,69,9,
CENTRE,177,750,581,592,709,751,750,953,1301,1553,1946,1558,878,543,362,165,39,6,,188,683,781,977,1066,1083,1128,1142,1472,1794,3214,2862,2214,1646,1031,490,171,23,
CHESTER,548,1217,1563,2071,2776,2980,3053,3646,4201,5310,8827,8126,4674,3103,1898,986,256,30,,469,1701,2307,2938,3312,3625,3710,4221,4681,5149,6098,5165,6038,3782,2387,1396,430,56,
CLARION,32,89,105,125,128,150,187,228,375,503,425,299,166,127,74,45,18,6,,14,134,160,178,194,224,243,343,379,488,1039,864,719,605,345,142,34,5,
CLEARFIELD,41,78,99,135,165,159,238,363,486,787,898,681,294,210,117,51,15,,,40,268,286,396,435,492,554,607,836,982,1765,1645,1498,1142,663,280,93,6,
CLINTON,14,49,31,42,63,60,66,88,127,223,335,280,187,137,102,30,10,,,23,110,120,120,150,155,216,231,308,475,742,696,550,392,221,136,42,6,
COLUMBIA,25,76,100,84,115,108,128,195,316,496,876,772,584,386,250,141,44,6,,54,278,462,637,687,641,753,859,971,1106,1568,1368,903,613,413,234,65,9,
CRAWFORD,55,160,155,210,245,290,289,386,595,947,1022,873,466,283,134,100,31,8,,64,221,356,455,573,617,714,914,998,1219,1863,1844,1627,1135,663,357,107,13,
CUMBERLAND,170,408,493,736,984,1013,1004,1184,1511,2218,3718,3643,2336,1549,875,445,96,13,,174,612,988,1197,1398,1404,1404,1520,1706,1908,2992,2731,1760,1261,1010,681,269,28,6
DAUPHIN,178,389,580,684,898,923,947,1216,1583,2379,3993,3580,2127,1440,911,385,114,17,,135,596,1217,1317,1358,1337,1279,1487,1658,1930,2663,2326,1450,1034,803,494,175,27,10
DELAWARE,495,1244,1590,2259,2673,2878,2830,3296,4215,5748,7827,6790,4299,2877,1978,996,305,37,,381,1482,2347,2877,3385,3380,3483,3749,4639,5417,6495,5230,5342,3646,2666,1571,507,75,
ELK,31,64,75,91,104,119,156,238,351,486,379,317,135,96,63,38,32,,,29,121,144,225,238,246,295,393,535,686,1108,1001,727,612,389,175,50,,
ERIE,203,757,823,1029,1224,1278,1410,1889,2459,3575,3832,2718,1392,911,669,386,131,9,,173,1186,1652,1741,1882,1826,1855,2219,2542,2982,4773,4069,3533,2366,1374,819,262,54,
FAYETTE,49,165,192,256,326,434,411,595,757,1108,1776,1426,989,711,420,215,69,7,,70,339,430,518,708,798,955,1200,1405,1942,3077,2697,1762,1192,745,395,127,12,
FOREST,,,10,6,11,9,19,32,66,114,88,73,37,24,18,,,,,,11,13,11,15,25,33,46,75,94,215,178,150,122,53,18,,,
FRANKLIN,46,155,160,230,284,347,423,528,694,968,1479,1530,1049,766,520,235,68,7,,54,240,359,517,674,652,727,836,960,1249,2327,2415,1855,1266,808,451,133,26,
FULTON,,9,6,13,7,15,15,15,28,45,98,96,70,45,17,10,,,,,16,23,36,41,42,49,64,69,85,126,123,96,73,37,29,10,,
GREENE,6,30,21,37,55,81,74,120,165,247,345,304,187,132,71,32,11,,,16,77,83,106,130,123,177,241,276,424,743,616,442,243,167,98,22,,
HUNTINGDON,42,99,89,116,121,156,188,245,394,494,624,564,365,248,124,54,17,,,33,113,140,189,208,220,302,347,353,444,830,821,633,455,297,155,37,9,
INDIANA,25,112,109,135,197,185,194,250,385,673,1555,1368,533,396,207,120,25,5,,34,215,256,282,359,381,437,580,653,791,1075,913,1151,885,457,221,58,11,
JEFFERSON,28,72,78,117,141,178,190,271,376,648,623,553,278,176,130,83,20,,,35,166,184,242,302,301,368,435,541,790,1199,1015,918,725,462,248,75,13,
JUNIATA,,18,22,22,29,31,45,69,83,142,259,228,176,146,72,34,11,,,15,46,67,87,97,121,133,185,216,275,459,416,300,251,163,81,30,,
LACKAWANNA,196,603,660,924,986,1025,1073,1458,1900,2541,3132,2871,1973,1516,884,457,144,18,,245,1199,1799,2038,2293,2357,2495,2945,3491,4109,4730,4136,2794,1787,1206,698,232,25,
LANCASTER,561,893,1076,1375,1619,1665,1839,2249,3267,4444,7954,8121,4897,3619,2318,1237,339,55,,379,1467,2339,3020,3277,3099,3221,3365,3830,4295,5847,5350,5111,3758,2893,1888,660,104,
LAWRENCE,32,133,148,158,219,246,269,358,486,727,884,769,511,430,253,157,38,,,42,203,290,345,463,514,554,780,848,1216,1739,1512,998,741,539,270,88,11,
LEBANON,97,168,223,285,358,368,438,522,700,948,1745,1688,1102,729,422,217,57,8,,91,299,466,607,734,777,811,870,979,1168,1701,1635,1202,959,802,505,182,33,
LEHIGH,256,944,1310,1785,2045,2184,2283,2591,3418,4573,7432,7005,1760,1104,882,581,170,17,,232,1354,2453,2749,3080,3298,3128,3377,3944,4350,4639,4034,6907,4811,3056,1580,457,63,
LUZERNE,199,510,567,725,921,1030,1185,1580,2074,2774,4012,3781,2283,1536,1053,549,122,20,,381,1416,1933,2380,2792,2963,3353,3922,4533,5419,6471,5710,4139,2826,1682,1055,318,40,5
LYCOMING,48,170,267,336,423,376,410,580,770,1127,1653,1432,1019,721,452,178,40,5,,76,350,525,653,791,751,801,889,1054,1321,2145,1903,1293,912,689,406,143,24,
MCKEAN,49,65,58,72,91,128,134,183,247,431,645,546,376,245,142,59,11,,,30,118,141,154,204,226,244,279,309,334,415,306,247,173,134,95,40,,
MERCER,78,165,190,244,307,316,352,534,777,1137,1152,893,660,501,306,178,54,15,,81,356,415,520,699,705,892,1205,1455,2023,3029,2824,2106,1510,978,559,177,22,
MIFFLIN,10,35,30,49,58,73,72,120,187,249,488,485,385,296,175,86,24,,,32,111,170,233,271,260,321,424,494,612,897,863,649,526,324,162,57,5,
MONROE,66,232,275,319,393,441,500,667,1139,1423,2196,2151,692,488,260,131,39,,,47,339,422,495,526,516,618,760,998,1077,1227,1051,2087,1279,736,311,81,8,
MONTGOMERY,1013,2880,4035,5493,6989,7181,7344,8541,9982,12082,19050,15832,8487,5604,3505,2010,582,61,8,691,1958,3087,3898,4561,4471,4416,5080,5755,6252,7083,6239,7684,5907,4364,2898,962,129,5
MONTOUR,6,37,32,58,52,39,40,79,95,123,220,171,141,100,66,40,9,,,36,125,424,519,477,389,340,363,459,572,683,532,367,273,218,110,31,5,
