County,Race,Coverage,Total Count
Adams,African American,Fully Covered,10
Adams,African American,Partially Covered,26
Adams,Asian,Partially Covered,
Adams,Asian,Fully Covered,
Adams,Multiple/Other,Fully Covered,73
Adams,Multiple/Other,Partially Covered,116
Adams,Unknown,Fully Covered,570
Adams,Unknown,Partially Covered,703
Adams,White,Fully Covered,1487
Adams,White,Partially Covered,4145
Allegheny,African American,Partially Covered,6854
Allegheny,African American,Fully Covered,2179
Allegheny,Asian,Partially Covered,294
Allegheny,Asian,Fully Covered,188
Allegheny,Multiple/Other,Partially Covered,2940
Allegheny,Multiple/Other,Fully Covered,2043
Allegheny,Unknown,Partially Covered,23854
Allegheny,Unknown,Fully Covered,13118
Allegheny,White,Partially Covered,62733
Allegheny,White,Fully Covered,27514
Armstrong,African American,Fully Covered,
Armstrong,African American,Partially Covered,20
Armstrong,Asian,Fully Covered,
Armstrong,Asian,Partially Covered,
Armstrong,Multiple/Other,Fully Covered,56
Armstrong,Multiple/Other,Partially Covered,175
Armstrong,Unknown,Fully Covered,858
Armstrong,Unknown,Partially Covered,1280
Armstrong,White,Fully Covered,1226
Armstrong,White,Partially Covered,3250
Beaver,African American,Fully Covered,29
Beaver,African American,Partially Covered,185
Beaver,Asian,Partially Covered,5
Beaver,Asian,Fully Covered,
Beaver,Multiple/Other,Partially Covered,369
Beaver,Multiple/Other,Fully Covered,143
Beaver,Unknown,Fully Covered,982
Beaver,Unknown,Partially Covered,1715
Beaver,White,Fully Covered,1515
Beaver,White,Partially Covered,6297
Bedford,African American,Partially Covered,5
Bedford,African American,Fully Covered,
Bedford,Asian,Partially Covered,
Bedford,Asian,Fully Covered,
Bedford,Multiple/Other,Fully Covered,43
Bedford,Multiple/Other,Partially Covered,83
Bedford,Unknown,Fully Covered,423
Bedford,Unknown,Partially Covered,532
Bedford,White,Partially Covered,1556
Bedford,White,Fully Covered,827
Berks,African American,Partially Covered,414
Berks,African American,Fully Covered,303
Berks,Asian,Fully Covered,12
Berks,Asian,Partially Covered,10
Berks,Multiple/Other,Fully Covered,1044
Berks,Multiple/Other,Partially Covered,1012
Berks,Unknown,Partially Covered,5142
Berks,Unknown,Fully Covered,3257
Berks,White,Partially Covered,15269
Berks,White,Fully Covered,9781
Blair,African American,Fully Covered,22
Blair,African American,Partially Covered,33
Blair,Asian,Fully Covered,
Blair,Asian,Partially Covered,
Blair,Multiple/Other,Fully Covered,145
Blair,Multiple/Other,Partially Covered,484
Blair,Unknown,Fully Covered,2179
Blair,Unknown,Partially Covered,3559
Blair,White,Partially Covered,5289
Blair,White,Fully Covered,2239
Bradford,African American,Partially Covered,9
Bradford,African American,Fully Covered,15
Bradford,Multiple/Other,Fully Covered,55
Bradford,Multiple/Other,Partially Covered,122
Bradford,Unknown,Fully Covered,290
Bradford,Unknown,Partially Covered,275
Bradford,White,Fully Covered,1732
Bradford,White,Partially Covered,3871
Bucks,African American,Partially Covered,382
Bucks,African American,Fully Covered,288
