ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2018,"2018",3360,"Pennsylvania","04000US42","pennsylvania",9723288,0.7592131215126656
0,"White Alone",1,"Hispanic or Latino",2018,"2018",16648,"Pennsylvania","04000US42","pennsylvania",532796,0.041601741539432156
1,"Black or African American Alone",0,"Not Hispanic or Latino",2018,"2018",9315,"Pennsylvania","04000US42","pennsylvania",1352804,0.10562955120066589
1,"Black or African American Alone",1,"Hispanic or Latino",2018,"2018",7945,"Pennsylvania","04000US42","pennsylvania",75602,0.00590315029366615
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2018,"2018",1986.0000000000002,"Pennsylvania","04000US42","pennsylvania",14367,0.0011218031304608552
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2018,"2018",1820.9999999999998,"Pennsylvania","04000US42","pennsylvania",7051,0.0005505557091166904
3,"Asian Alone",0,"Not Hispanic or Latino",2018,"2018",5816,"Pennsylvania","04000US42","pennsylvania",450077,0.03514288212907568
3,"Asian Alone",1,"Hispanic or Latino",2018,"2018",1621,"Pennsylvania","04000US42","pennsylvania",4950,0.00038650556802263754
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2018,"2018",1479,"Pennsylvania","04000US42","pennsylvania",3557,0.00027773743544576193
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2018,"2018",805,"Pennsylvania","04000US42","pennsylvania",1451,0.0001132968846870398
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2018,"2018",3645,"Pennsylvania","04000US42","pennsylvania",21357,0.0016675958416685797
5,"Some Other Race Alone",1,"Hispanic or Latino",2018,"2018",15632,"Pennsylvania","04000US42","pennsylvania",286215,0.022348220434666503
6,"Two or More Races",0,"Not Hispanic or Latino",2018,"2018",10737.497147845954,"Pennsylvania","04000US42","pennsylvania",266847,0.020835929557603383
6,"Two or More Races",1,"Hispanic or Latino",2018,"2018",6882.132009777203,"Pennsylvania","04000US42","pennsylvania",66698,0.005207908762823005
